gemeinde,jahr,0-14 Jahre alt,15-29 Jahre alt,30-44 Jahre alt,45-59 Jahre alt,60-74 Jahre alt,75-89 Jahre alt,90-104 Jahre alt
Adliswil,2010,2348,2907,3778,3389,2652,1324,89
Adliswil,2011,2510,3087,4130,3536,2747,1375,87
Adliswil,2012,2582,3159,4367,3613,2753,1419,104
Adliswil,2013,2673,3060,4476,3702,2738,1455,112
Adliswil,2014,2786,2993,4503,3721,2777,1465,136
Adliswil,2015,2879,2910,4585,3767,2770,1507,133
Adliswil,2016,2904,2845,4630,3822,2751,1566,133
Adliswil,2017,2943,2815,4663,3817,2742,1609,142
Adliswil,2018,2939,2758,4657,3833,2640,1708,146
Adliswil,2019,3046,2740,4731,3845,2624,1707,176
Adliswil,2020,3055,2768,4750,3936,2583,1729,183
Adliswil,2021,3030,2763,4717,3943,2595,1754,196
Adliswil,2022,3025,2814,4794,3976,2589,1776,206
Adliswil,2023,3089,2920,4998,4060,2615,1762,216
Aesch,2010,163,139,236,211,209,68,8
Aesch,2011,173,147,243,228,206,76,10
Aesch,2012,185,147,269,240,224,84,9
Aesch,2013,199,124,297,238,215,103,7
Aesch,2014,180,145,273,256,210,111,7
Aesch,2015,177,157,271,268,202,114,9
Aesch,2016,192,178,283,283,200,125,8
Aesch,2017,218,182,298,298,197,139,9
Aesch,2018,264,205,394,335,209,137,11
Aesch,2019,284,227,428,351,218,141,12
Aesch,2020,316,226,437,355,210,151,12
Aesch,2021,321,211,420,366,203,161,10
Aesch,2022,306,204,409,365,206,160,12
Aesch,2023,308,206,417,386,214,152,13
Aeugst,2010,281,263,375,515,277,106,5
Aeugst,2011,301,291,386,528,286,114,5
Aeugst,2012,300,305,379,539,323,109,4
Aeugst,2013,312,286,378,553,323,114,4
Aeugst,2014,305,286,351,568,331,107,4
Aeugst,2015,310,296,358,573,338,104,7
Aeugst,2016,294,294,350,568,343,113,7
Aeugst,2017,269,287,326,570,348,122,12
Aeugst,2018,277,286,337,583,354,128,14
Aeugst,2019,282,280,332,566,371,138,12
Aeugst,2020,288,267,348,558,390,143,17
Aeugst,2021,284,264,336,531,410,148,13
Aeugst,2022,286,257,339,510,429,156,14
Aeugst,2023,279,255,336,521,440,151,13
Affoltern,2010,1688,2283,2348,2443,1610,643,48
Affoltern,2011,1660,2263,2356,2499,1633,682,47
Affoltern,2012,1684,2260,2332,2541,1696,704,48
Affoltern,2013,1649,2276,2332,2566,1730,738,51
Affoltern,2014,1657,2313,2348,2600,1751,810,61
Affoltern,2015,1666,2273,2422,2627,1782,855,70
Affoltern,2016,1715,2279,2488,2620,1807,887,72
Affoltern,2017,1748,2367,2479,2625,1855,921,85
Affoltern,2018,1794,2326,2530,2645,1852,973,81
Affoltern,2019,1849,2219,2667,2607,1880,993,94
Affoltern,2020,1856,2092,2708,2594,1883,1014,99
Affoltern,2021,1858,2079,2790,2561,1932,1033,105
Affoltern,2022,1881,2138,2832,2511,1966,1079,117
Affoltern,2023,1966,2114,2954,2525,1998,1122,133
Altikon,2010,90,97,108,173,96,36,1
Altikon,2011,94,94,116,171,105,37,2
Altikon,2012,95,85,115,171,113,35,4
Altikon,2013,104,85,108,182,114,39,3
Altikon,2014,105,88,118,179,125,38,4
Altikon,2015,96,94,121,173,132,33,6
Altikon,2016,97,89,121,170,138,34,4
Altikon,2017,99,102,122,168,141,36,6
Altikon,2018,113,105,132,164,143,41,7
Altikon,2019,113,92,131,164,148,42,8
Altikon,2020,117,96,135,150,148,47,9
Altikon,2021,115,101,135,154,149,48,7
Altikon,2022,122,103,137,158,150,52,7
Altikon,2023,127,103,141,167,154,54,8
Andelfingen,2010,467,478,607,616,494,210,21
Andelfingen,2011,502,499,647,658,500,218,22
Andelfingen,2012,519,513,640,690,501,227,18
Andelfingen,2013,549,500,657,701,495,237,16
Andelfingen,2014,585,524,676,717,509,239,11
Andelfingen,2015,609,517,691,739,526,243,9
Andelfingen,2016,634,505,697,729,536,264,13
Andelfingen,2017,621,484,683,741,522,278,13
Andelfingen,2018,605,502,699,760,515,307,12
Andelfingen,2019,623,480,704,763,514,316,17
Andelfingen,2020,616,457,674,781,512,339,21
Andelfingen,2021,623,473,664,791,509,338,31
Andelfingen,2022,603,491,644,810,500,348,32
Andelfingen,2023,601,553,666,818,540,361,31
Bachenbülach,2010,624,621,934,801,689,185,15
Bachenbülach,2011,656,599,980,830,707,201,19
Bachenbülach,2012,654,598,965,846,712,216,18
Bachenbülach,2013,657,612,942,855,721,237,14
Bachenbülach,2014,657,619,916,875,718,264,15
Bachenbülach,2015,656,605,879,877,712,282,15
Bachenbülach,2016,652,622,833,911,709,320,11
Bachenbülach,2017,652,646,824,918,698,335,19
Bachenbülach,2018,643,660,860,924,710,343,19
Bachenbülach,2019,662,658,840,922,704,362,21
Bachenbülach,2020,664,674,830,939,687,381,28
Bachenbülach,2021,694,638,827,945,692,395,30
Bachenbülach,2022,660,656,808,969,660,418,30
Bachenbülach,2023,698,655,831,999,665,433,34
Bachs,2010,78,90,115,162,80,45,3
Bachs,2011,76,85,121,154,86,42,3
Bachs,2012,76,87,123,153,88,45,2
Bachs,2013,85,97,131,157,91,46,0
Bachs,2014,85,81,125,160,101,46,0
Bachs,2015,80,76,117,155,108,48,1
Bachs,2016,85,86,112,154,113,49,2
Bachs,2017,84,78,105,155,113,47,6
Bachs,2018,79,74,98,158,116,49,6
Bachs,2019,77,74,114,155,117,54,5
Bachs,2020,87,67,117,163,121,53,7
Bachs,2021,98,57,123,174,121,54,6
Bachs,2022,96,62,134,163,124,55,5
Bachs,2023,101,63,138,157,127,61,5
Bassersdorf,2010,1844,1994,2983,2251,1464,476,40
Bassersdorf,2011,1843,1975,2928,2362,1498,505,46
Bassersdorf,2012,1841,1995,2856,2413,1547,531,46
Bassersdorf,2013,1824,1994,2833,2470,1594,557,46
Bassersdorf,2014,1831,1926,2808,2553,1616,588,49
Bassersdorf,2015,1844,1967,2797,2630,1660,616,47
Bassersdorf,2016,1792,1984,2729,2668,1639,683,56
Bassersdorf,2017,1786,1985,2699,2694,1654,714,61
Bassersdorf,2018,1770,2028,2664,2710,1683,748,65
Bassersdorf,2019,1823,2045,2647,2745,1718,785,69
Bassersdorf,2020,1837,2017,2660,2782,1740,825,70
Bassersdorf,2021,1863,1968,2625,2791,1765,878,63
Bassersdorf,2022,1899,1991,2614,2791,1778,919,61
Bassersdorf,2023,1903,2003,2588,2807,1796,994,63
Bauma,2010,713,828,890,1164,640,263,24
Bauma,2011,688,854,866,1199,643,279,21
Bauma,2012,683,867,833,1203,668,292,23
Bauma,2013,673,905,848,1212,694,293,25
Bauma,2014,699,889,868,1226,720,293,23
Bauma,2015,704,914,863,1273,749,303,31
Bauma,2016,727,884,876,1294,757,325,33
Bauma,2017,739,860,908,1271,781,327,39
Bauma,2018,761,837,904,1252,818,350,39
Bauma,2019,720,789,909,1206,850,355,41
Bauma,2020,721,766,920,1182,882,358,50
Bauma,2021,737,765,911,1137,913,366,52
Bauma,2022,733,781,914,1136,950,363,44
Bauma,2023,747,769,983,1136,984,386,41
Benken,2010,117,134,172,216,107,50,3
Benken,2011,123,149,161,227,110,45,4
Benken,2012,122,138,164,234,116,45,4
Benken,2013,120,143,161,238,119,45,2
Benken,2014,123,128,158,246,123,44,1
Benken,2015,128,138,163,257,129,42,2
Benken,2016,129,136,159,250,138,45,1
Benken,2017,129,139,159,247,133,50,0
Benken,2018,124,145,155,241,136,51,3
Benken,2019,125,141,146,241,141,49,4
