BFS_NR,Gebietname,Jahr,Einwohner pro Quadratkilometer
1,Aeugst,2009,220.7
1,Aeugst,2010,231.5
1,Aeugst,2011,242.8
1,Aeugst,2012,248.9
1,Aeugst,2013,250.3
1,Aeugst,2014,248.0
1,Aeugst,2015,252.4
1,Aeugst,2016,250.2
1,Aeugst,2017,245.7
1,Aeugst,2018,250.5
1,Aeugst,2019,250.8
1,Aeugst,2020,254.6
1,Aeugst,2021,251.4
1,Aeugst,2022,252.0
1,Aeugst,2023,252.5
2,Affoltern,2009,1009.9
2,Affoltern,2010,1043.7
2,Affoltern,2011,1050.9
2,Affoltern,2012,1062.7
2,Affoltern,2013,1070.0
2,Affoltern,2014,1088.7
2,Affoltern,2015,1103.3
2,Affoltern,2016,1119.6
2,Affoltern,2017,1139.6
2,Affoltern,2018,1158.7
2,Affoltern,2019,1168.9
2,Affoltern,2020,1163.0
2,Affoltern,2021,1173.6
2,Affoltern,2022,1189.4
2,Affoltern,2023,1216.7
3,Bonstetten,2009,686.6
3,Bonstetten,2010,693.2
3,Bonstetten,2011,693.4
3,Bonstetten,2012,696.8
3,Bonstetten,2013,705.2
3,Bonstetten,2014,708.6
3,Bonstetten,2015,714.4
3,Bonstetten,2016,727.8
3,Bonstetten,2017,737.0
3,Bonstetten,2018,744.5
3,Bonstetten,2019,749.5
3,Bonstetten,2020,754.0
3,Bonstetten,2021,757.0
3,Bonstetten,2022,755.2
3,Bonstetten,2023,760.3
4,Hausen,2009,241.7
4,Hausen,2010,245.8
4,Hausen,2011,245.8
4,Hausen,2012,246.5
4,Hausen,2013,249.7
4,Hausen,2014,253.6
4,Hausen,2015,254.1
4,Hausen,2016,259.9
4,Hausen,2017,266.5
4,Hausen,2018,270.9
4,Hausen,2019,275.1
4,Hausen,2020,278.6
4,Hausen,2021,282.5
4,Hausen,2022,284.1
4,Hausen,2023,290.7
5,Hedingen,2009,521.3
5,Hedingen,2010,521.9
5,Hedingen,2011,530.5
5,Hedingen,2012,536.9
5,Hedingen,2013,549.0
5,Hedingen,2014,558.2
5,Hedingen,2015,559.7
5,Hedingen,2016,561.6
5,Hedingen,2017,563.2
5,Hedingen,2018,568.4
5,Hedingen,2019,575.5
5,Hedingen,2020,578.2
5,Hedingen,2021,575.8
5,Hedingen,2022,589.0
5,Hedingen,2023,600.8
6,Kappel,2009,112.6
6,Kappel,2010,117.2
6,Kappel,2011,121.6
6,Kappel,2012,117.8
6,Kappel,2013,122.0
6,Kappel,2014,129.5
6,Kappel,2015,131.4
6,Kappel,2016,141.8
6,Kappel,2017,143.6
6,Kappel,2018,148.1
6,Kappel,2019,156.1
6,Kappel,2020,159.1
6,Kappel,2021,164.6
6,Kappel,2022,168.9
6,Kappel,2023,169.1
7,Knonau,2009,267.1
7,Knonau,2010,276.8
7,Knonau,2011,290.9
7,Knonau,2012,304.0
7,Knonau,2013,307.1
7,Knonau,2014,312.3
7,Knonau,2015,321.7
7,Knonau,2016,331.5
7,Knonau,2017,353.5
7,Knonau,2018,365.3
7,Knonau,2019,365.6
7,Knonau,2020,364.9
7,Knonau,2021,376.9
7,Knonau,2022,371.5
7,Knonau,2023,376.0
8,Maschwanden,2009,125.6
8,Maschwanden,2010,130.8
8,Maschwanden,2011,137.0
8,Maschwanden,2012,137.0
8,Maschwanden,2013,141.9
8,Maschwanden,2014,141.9
8,Maschwanden,2015,136.3
8,Maschwanden,2016,132.5
8,Maschwanden,2017,135.9
8,Maschwanden,2018,138.5
8,Maschwanden,2019,136.8
8,Maschwanden,2020,135.9
8,Maschwanden,2021,137.0
8,Maschwanden,2022,137.6
8,Maschwanden,2023,137.2
9,Mettmenstetten,2009,316.8
9,Mettmenstetten,2010,325.3
9,Mettmenstetten,2011,335.3
9,Mettmenstetten,2012,338.2
9,Mettmenstetten,2013,338.7
9,Mettmenstetten,2014,342.0
9,Mettmenstetten,2015,357.0
9,Mettmenstetten,2016,371.2
9,Mettmenstetten,2017,372.8
9,Mettmenstetten,2018,389.7
9,Mettmenstetten,2019,397.8
9,Mettmenstetten,2020,411.5
9,Mettmenstetten,2021,425.9
9,Mettmenstetten,2022,430.4
9,Mettmenstetten,2023,434.8
10,Obfelden,2009,614.6
10,Obfelden,2010,620.1
10,Obfelden,2011,629.9
10,Obfelden,2012,639.5
10,Obfelden,2013,643.8
10,Obfelden,2014,652.3
10,Obfelden,2015,663.2
10,Obfelden,2016,678.0
10,Obfelden,2017,707.3
10,Obfelden,2018,738.1
10,Obfelden,2019,757.3
10,Obfelden,2020,764.3
10,Obfelden,2021,761.2
10,Obfelden,2022,764.4
10,Obfelden,2023,772.8
11,Ottenbach,2009,478.7
11,Ottenbach,2010,484.3
11,Ottenbach,2011,493.8
11,Ottenbach,2012,497.8
11,Ottenbach,2013,497.0
11,Ottenbach,2014,510.4
11,Ottenbach,2015,515.3
11,Ottenbach,2016,517.7
11,Ottenbach,2017,513.3
11,Ottenbach,2018,509.6
11,Ottenbach,2019,517.6
11,Ottenbach,2020,540.1
11,Ottenbach,2021,547.5
11,Ottenbach,2022,568.3
11,Ottenbach,2023,588.8
12,Rifferswil,2009,133.3
12,Rifferswil,2010,137.0
12,Rifferswil,2011,142.0
12,Rifferswil,2012,145.7
12,Rifferswil,2013,146.0
12,Rifferswil,2014,152.1
12,Rifferswil,2015,160.7
12,Rifferswil,2016,163.6
12,Rifferswil,2017,166.8
12,Rifferswil,2018,170.5
12,Rifferswil,2019,171.6
12,Rifferswil,2020,174.6
