BFS_NR,Gemeindename,Jahr,Einwohner_pro_Quadratkilometer,Einwohner 0-14 Jahre alt,Einwohner 15-29 Jahre alt,Einwohner 30-44 Jahre alt,Einwohner 45-59 Jahre alt,Einwohner 60-74 Jahre alt,Einwohner 75-89 Jahre alt,Einwohner 90-104 Jahre alt,durchschnittliches_steuerbares_Einkommen_pro_Einwohner,Finanzvermoegen_pro_Einwohner,Einwohner,Einbruchdiebstahl_Total,Einschleichdiebstahl_Total,Einbruchdiebstahl_Versucht,Einschleichdiebstahl_Versucht,Einbruchdiebstahl_Vollendet,Einschleichdiebstahl_Vollendet
1,Aeugst,2010,231.5,281,263,375,515,277,106,5,87080.0,12228.0,1740.0,6.0,3.0,1.0,0.0,5.0,3.0
2,Affoltern,2010,1043.7,1688,2283,2348,2443,1610,643,48,55409.0,4401.0,10735.0,100.0,26.0,38.0,0.0,62.0,26.0
3,Bonstetten,2010,693.2,949,818,1309,1163,716,195,14,67333.0,3343.0,5110.0,18.0,3.0,11.0,0.0,7.0,3.0
4,Hausen,2010,245.8,575,547,721,812,535,160,12,61850.0,10069.0,3316.0,10.0,4.0,5.0,0.0,5.0,4.0
5,Hedingen,2010,521.9,595,611,736,824,479,149,14,67074.0,6854.0,3413.0,19.0,1.0,10.0,0.0,9.0,1.0
6,Kappel,2010,117.2,183,139,208,207,134,43,4,61554.0,8006.0,881.0,5.0,0.0,3.0,0.0,2.0,0.0
7,Knonau,2010,276.8,330,306,390,419,244,106,7,53680.0,5911.0,1742.0,10.0,2.0,4.0,0.0,6.0,2.0
8,Maschwanden,2010,130.8,107,89,148,134,91,41,2,48459.0,5968.0,588.0,3.0,0.0,1.0,0.0,2.0,0.0
9,Mettmenstetten,2010,325.3,732,762,877,1043,628,186,17,66211.0,7844.0,4150.0,16.0,4.0,4.0,0.0,12.0,4.0
10,Obfelden,2010,620.1,826,828,1070,1017,707,213,21,58122.0,5235.0,4646.0,8.0,3.0,2.0,0.0,6.0,3.0
11,Ottenbach,2010,484.3,383,383,489,618,408,120,11,62748.0,6849.0,2385.0,8.0,1.0,4.0,0.0,4.0,1.0
12,Rifferswil,2010,137.0,184,137,203,196,119,60,1,59875.0,7580.0,876.0,2.0,0.0,0.0,0.0,2.0,0.0
13,Stallikon,2010,263.1,471,429,801,797,496,160,6,81024.0,5570.0,3024.0,7.0,2.0,1.0,0.0,6.0,2.0
22,Benken,2010,140.9,117,134,172,216,107,50,3,53074.0,11216.0,774.0,0.0,0.0,0.0,0.0,0.0,0.0
23,Berg,2010,84.8,73,110,121,152,112,26,5,60167.0,7906.0,597.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Buch,2010,85.7,156,159,203,210,110,33,1,59034.0,10225.0,836.0,3.0,1.0,1.0,0.0,2.0,1.0
25,Dachsen,2010,721.6,357,300,421,453,284,116,10,60552.0,6375.0,1916.0,6.0,0.0,1.0,0.0,5.0,0.0
26,Dorf,2010,114.3,119,108,133,155,91,24,3,62682.0,6482.0,634.0,0.0,0.0,0.0,0.0,0.0,0.0
27,Feuerthalen,2010,1386.8,507,644,806,768,468,249,25,53718.0,5118.0,3450.0,6.0,2.0,0.0,0.0,6.0,2.0
28,Flaach,2010,119.9,193,214,249,321,148,92,6,60526.0,9249.0,1227.0,3.0,0.0,0.0,0.0,3.0,0.0
29,Flurlingen,2010,595.8,233,242,298,350,208,90,9,60885.0,4530.0,1407.0,4.0,2.0,1.0,0.0,3.0,2.0
31,Henggart,2010,723.5,442,328,509,491,313,124,7,65983.0,6038.0,2171.0,8.0,1.0,1.0,1.0,7.0,0.0
33,Kleinandelfingen,2010,201.8,373,337,462,503,284,102,16,58073.0,7371.0,2073.0,14.0,5.0,3.0,0.0,11.0,5.0
34,Laufen-Uhwiesen,2010,241.8,250,205,333,339,258,120,6,73722.0,7084.0,1519.0,3.0,2.0,0.0,0.0,3.0,2.0
35,Marthalen,2010,136.7,287,391,383,461,294,107,12,56542.0,7495.0,1892.0,9.0,3.0,3.0,0.0,6.0,3.0
