BFS_NR,Gemeindename,Jahr,durchschnittliches steuerbares Einkommen pro Einwohner
1,Aeugst,2009,82027.0
1,Aeugst,2010,87080.0
1,Aeugst,2011,79841.0
1,Aeugst,2012,81087.0
1,Aeugst,2013,80720.0
1,Aeugst,2014,81527.0
1,Aeugst,2015,80713.0
1,Aeugst,2016,82001.0
1,Aeugst,2017,86751.0
1,Aeugst,2018,87321.0
1,Aeugst,2019,93918.0
1,Aeugst,2020,88390.0
1,Aeugst,2021,86312.0
1,Aeugst,2022,86111.0
2,Affoltern,2009,55095.0
2,Affoltern,2010,55409.0
2,Affoltern,2011,54879.0
2,Affoltern,2012,55488.0
2,Affoltern,2013,56321.0
2,Affoltern,2014,56175.0
2,Affoltern,2015,55852.0
2,Affoltern,2016,56240.0
2,Affoltern,2017,58443.0
2,Affoltern,2018,57975.0
2,Affoltern,2019,58556.0
2,Affoltern,2020,60816.0
2,Affoltern,2021,60345.0
2,Affoltern,2022,60095.0
3,Bonstetten,2009,67739.0
3,Bonstetten,2010,67333.0
3,Bonstetten,2011,68843.0
3,Bonstetten,2012,68082.0
3,Bonstetten,2013,68909.0
3,Bonstetten,2014,67574.0
3,Bonstetten,2015,74566.0
3,Bonstetten,2016,72953.0
3,Bonstetten,2017,71343.0
3,Bonstetten,2018,72473.0
3,Bonstetten,2019,74336.0
3,Bonstetten,2020,76263.0
3,Bonstetten,2021,73247.0
3,Bonstetten,2022,73784.0
4,Hausen,2009,60444.0
4,Hausen,2010,61850.0
4,Hausen,2011,62933.0
4,Hausen,2012,62894.0
4,Hausen,2013,63116.0
4,Hausen,2014,62371.0
4,Hausen,2015,63317.0
4,Hausen,2016,65355.0
4,Hausen,2017,68433.0
4,Hausen,2018,68885.0
4,Hausen,2019,69795.0
4,Hausen,2020,71160.0
4,Hausen,2021,79017.0
4,Hausen,2022,72055.0
5,Hedingen,2009,65210.0
5,Hedingen,2010,67074.0
5,Hedingen,2011,73116.0
5,Hedingen,2012,72404.0
5,Hedingen,2013,73519.0
5,Hedingen,2014,69842.0
5,Hedingen,2015,70871.0
5,Hedingen,2016,72877.0
5,Hedingen,2017,73840.0
5,Hedingen,2018,73808.0
5,Hedingen,2019,74838.0
5,Hedingen,2020,75867.0
5,Hedingen,2021,83225.0
5,Hedingen,2022,78570.0
6,Kappel,2009,58727.0
6,Kappel,2010,61554.0
6,Kappel,2011,67476.0
6,Kappel,2012,65627.0
6,Kappel,2013,69900.0
6,Kappel,2014,70685.0
6,Kappel,2015,67858.0
6,Kappel,2016,67718.0
6,Kappel,2017,69506.0
6,Kappel,2018,68678.0
6,Kappel,2019,69951.0
6,Kappel,2020,71406.0
6,Kappel,2021,73516.0
6,Kappel,2022,72970.0
7,Knonau,2009,52062.0
7,Knonau,2010,53680.0
7,Knonau,2011,56028.0
7,Knonau,2012,56631.0
7,Knonau,2013,58540.0
7,Knonau,2014,58848.0
7,Knonau,2015,58761.0
7,Knonau,2016,59827.0
7,Knonau,2017,64953.0
7,Knonau,2018,70380.0
7,Knonau,2019,65768.0
7,Knonau,2020,69312.0
7,Knonau,2021,77835.0
7,Knonau,2022,72943.0
8,Maschwanden,2009,48922.0
8,Maschwanden,2010,48459.0
8,Maschwanden,2011,50981.0
8,Maschwanden,2012,53127.0
8,Maschwanden,2013,56272.0
8,Maschwanden,2014,53697.0
8,Maschwanden,2015,57080.0
8,Maschwanden,2016,52482.0
8,Maschwanden,2017,37385.0
8,Maschwanden,2018,37411.0
8,Maschwanden,2019,55005.0
8,Maschwanden,2020,58789.0
8,Maschwanden,2021,60097.0
8,Maschwanden,2022,58041.0
9,Mettmenstetten,2009,67970.0
9,Mettmenstetten,2010,66211.0
9,Mettmenstetten,2011,68155.0
9,Mettmenstetten,2012,69649.0
9,Mettmenstetten,2013,68173.0
9,Mettmenstetten,2014,68008.0
9,Mettmenstetten,2015,70416.0
9,Mettmenstetten,2016,70609.0
9,Mettmenstetten,2017,73971.0
9,Mettmenstetten,2018,72609.0
9,Mettmenstetten,2019,73511.0
9,Mettmenstetten,2020,73101.0
9,Mettmenstetten,2021,73206.0
9,Mettmenstetten,2022,73738.0
10,Obfelden,2009,56348.0
10,Obfelden,2010,58122.0
10,Obfelden,2011,58880.0
10,Obfelden,2012,63623.0
10,Obfelden,2013,63206.0
10,Obfelden,2014,63453.0
10,Obfelden,2015,63366.0
10,Obfelden,2016,62623.0
10,Obfelden,2017,64093.0
10,Obfelden,2018,65513.0
10,Obfelden,2019,64913.0
10,Obfelden,2020,65745.0
10,Obfelden,2021,64538.0
10,Obfelden,2022,65390.0
11,Ottenbach,2009,65742.0
11,Ottenbach,2010,62748.0
11,Ottenbach,2011,63292.0
11,Ottenbach,2012,64102.0
11,Ottenbach,2013,70025.0
11,Ottenbach,2014,71186.0
11,Ottenbach,2015,69160.0
11,Ottenbach,2016,70400.0
11,Ottenbach,2017,74377.0
11,Ottenbach,2018,75108.0
11,Ottenbach,2019,74631.0
11,Ottenbach,2020,72736.0
11,Ottenbach,2021,72928.0
11,Ottenbach,2022,73323.0
12,Rifferswil,2009,56804.0
12,Rifferswil,2010,59875.0
12,Rifferswil,2011,60365.0
12,Rifferswil,2012,64246.0
12,Rifferswil,2013,62712.0
12,Rifferswil,2014,61275.0
12,Rifferswil,2015,62527.0
12,Rifferswil,2016,61617.0
12,Rifferswil,2017,64876.0
12,Rifferswil,2018,64325.0
12,Rifferswil,2019,70374.0
12,Rifferswil,2020,72749.0
12,Rifferswil,2021,75090.0
12,Rifferswil,2022,75248.0
13,Stallikon,2009,77241.0
13,Stallikon,2010,81024.0
13,Stallikon,2011,79828.0
13,Stallikon,2012,82891.0
13,Stallikon,2013,82427.0
13,Stallikon,2014,84440.0
13,Stallikon,2015,81667.0
13,Stallikon,2016,83115.0
13,Stallikon,2017,82654.0
13,Stallikon,2018,83096.0
13,Stallikon,2019,85295.0
13,Stallikon,2020,87899.0
13,Stallikon,2021,85802.0
13,Stallikon,2022,84284.0
14,Wettswil,2009,83805.0
14,Wettswil,2010,87797.0
14,Wettswil,2011,90040.0
14,Wettswil,2012,90789.0
14,Wettswil,2013,93821.0
14,Wettswil,2014,92592.0
14,Wettswil,2015,93833.0
14,Wettswil,2016,99738.0
14,Wettswil,2017,101065.0
14,Wettswil,2018,106307.0
14,Wettswil,2019,104214.0
14,Wettswil,2020,102499.0
14,Wettswil,2021,97781.0
14,Wettswil,2022,98510.0
22,Benken,2009,52202.0
22,Benken,2010,53074.0
22,Benken,2011,54420.0
22,Benken,2012,52848.0
22,Benken,2013,55086.0
22,Benken,2014,58681.0
22,Benken,2015,58263.0
22,Benken,2016,58282.0
22,Benken,2017,62548.0
22,Benken,2018,61957.0
22,Benken,2019,64675.0
22,Benken,2020,67270.0
22,Benken,2021,65331.0
22,Benken,2022,70346.0
23,Berg,2009,58544.0
23,Berg,2010,60167.0
23,Berg,2011,55748.0
23,Berg,2012,60358.0
23,Berg,2013,61533.0
23,Berg,2014,61932.0
23,Berg,2015,62581.0
23,Berg,2016,82704.0
23,Berg,2017,85287.0
23,Berg,2018,112383.0
23,Berg,2019,97468.0
23,Berg,2020,93987.0
23,Berg,2021,93141.0
23,Berg,2022,97830.0
24,Buch,2009,56875.0
24,Buch,2010,59034.0
24,Buch,2011,61383.0
24,Buch,2012,61423.0
24,Buch,2013,63903.0
24,Buch,2014,63985.0
24,Buch,2015,64776.0
24,Buch,2016,66966.0
24,Buch,2017,69082.0
24,Buch,2018,70012.0
24,Buch,2019,70226.0
24,Buch,2020,70701.0
24,Buch,2021,68692.0
24,Buch,2022,67982.0
25,Dachsen,2009,60013.0
25,Dachsen,2010,60552.0
25,Dachsen,2011,59113.0
25,Dachsen,2012,60101.0
25,Dachsen,2013,60629.0
25,Dachsen,2014,62774.0
25,Dachsen,2015,63126.0
25,Dachsen,2016,62632.0
25,Dachsen,2017,62573.0
25,Dachsen,2018,59179.0
25,Dachsen,2019,69416.0
25,Dachsen,2020,68288.0
25,Dachsen,2021,70269.0
25,Dachsen,2022,67553.0
26,Dorf,2009,65045.0
26,Dorf,2010,62682.0
26,Dorf,2011,65640.0
26,Dorf,2012,64957.0
26,Dorf,2013,65056.0
26,Dorf,2014,61559.0
26,Dorf,2015,67175.0
26,Dorf,2016,65782.0
26,Dorf,2017,65957.0
26,Dorf,2018,67583.0
26,Dorf,2019,66374.0
26,Dorf,2020,65877.0
26,Dorf,2021,67211.0
26,Dorf,2022,67550.0
27,Feuerthalen,2009,52515.0
27,Feuerthalen,2010,53718.0
27,Feuerthalen,2011,54069.0
27,Feuerthalen,2012,54944.0
27,Feuerthalen,2013,52189.0
27,Feuerthalen,2014,53953.0
27,Feuerthalen,2015,53791.0
27,Feuerthalen,2016,55893.0
27,Feuerthalen,2017,56705.0
27,Feuerthalen,2018,58645.0
27,Feuerthalen,2019,59971.0
27,Feuerthalen,2020,61062.0
27,Feuerthalen,2021,61225.0
27,Feuerthalen,2022,60018.0
28,Flaach,2009,59063.0
28,Flaach,2010,60526.0
28,Flaach,2011,60425.0
28,Flaach,2012,61643.0
28,Flaach,2013,62409.0
28,Flaach,2014,61974.0
28,Flaach,2015,62006.0
28,Flaach,2016,62423.0
28,Flaach,2017,61998.0
28,Flaach,2018,62250.0
28,Flaach,2019,65124.0
28,Flaach,2020,66039.0
28,Flaach,2021,66978.0
28,Flaach,2022,66223.0
29,Flurlingen,2009,59964.0
29,Flurlingen,2010,60885.0
29,Flurlingen,2011,63578.0
29,Flurlingen,2012,66619.0
29,Flurlingen,2013,66287.0
29,Flurlingen,2014,70060.0
29,Flurlingen,2015,72127.0
29,Flurlingen,2016,69128.0
29,Flurlingen,2017,74106.0
29,Flurlingen,2018,74192.0
29,Flurlingen,2019,73705.0
29,Flurlingen,2020,72525.0
29,Flurlingen,2021,72490.0
29,Flurlingen,2022,73682.0
31,Henggart,2009,64653.0
31,Henggart,2010,65983.0
31,Henggart,2011,65299.0
31,Henggart,2012,68547.0
31,Henggart,2013,67134.0
31,Henggart,2014,66441.0
31,Henggart,2015,65580.0
31,Henggart,2016,66625.0
31,Henggart,2017,65877.0
31,Henggart,2018,65290.0
31,Henggart,2019,66347.0
31,Henggart,2020,67778.0
31,Henggart,2021,68273.0
31,Henggart,2022,65723.0
33,Kleinandelfingen,2009,57170.0
33,Kleinandelfingen,2010,58073.0
33,Kleinandelfingen,2011,58663.0
33,Kleinandelfingen,2012,60370.0
33,Kleinandelfingen,2013,60202.0
33,Kleinandelfingen,2014,58555.0
33,Kleinandelfingen,2015,58834.0
33,Kleinandelfingen,2016,59851.0
33,Kleinandelfingen,2017,61556.0
33,Kleinandelfingen,2018,61924.0
33,Kleinandelfingen,2019,63267.0
33,Kleinandelfingen,2020,60493.0
33,Kleinandelfingen,2021,61431.0
33,Kleinandelfingen,2022,65382.0
34,Laufen-Uhwiesen,2009,64408.0
34,Laufen-Uhwiesen,2010,73722.0
34,Laufen-Uhwiesen,2011,69871.0
34,Laufen-Uhwiesen,2012,69470.0
34,Laufen-Uhwiesen,2013,71427.0
34,Laufen-Uhwiesen,2014,76910.0
