BFS_NR,Gemeindename,Jahr,Finanzvermögen pro Einwohner
1,Aeugst,2009,13480.0
1,Aeugst,2010,12228.0
1,Aeugst,2011,10535.0
1,Aeugst,2012,10111.0
1,Aeugst,2013,10131.0
1,Aeugst,2014,10205.0
1,Aeugst,2015,9866.0
1,Aeugst,2016,11583.0
1,Aeugst,2017,13728.0
1,Aeugst,2018,11919.0
1,Aeugst,2019,13689.0
1,Aeugst,2020,14360.0
1,Aeugst,2021,13241.0
1,Aeugst,2022,13013.0
2,Affoltern,2009,4105.0
2,Affoltern,2010,4401.0
2,Affoltern,2011,4514.0
2,Affoltern,2012,4153.0
2,Affoltern,2013,4698.0
2,Affoltern,2014,5194.0
2,Affoltern,2015,4924.0
2,Affoltern,2016,4902.0
2,Affoltern,2017,4276.0
2,Affoltern,2018,6090.0
2,Affoltern,2019,4580.0
2,Affoltern,2020,4442.0
2,Affoltern,2021,4971.0
2,Affoltern,2022,4684.0
3,Bonstetten,2009,2495.0
3,Bonstetten,2010,3343.0
3,Bonstetten,2011,2302.0
3,Bonstetten,2012,3800.0
3,Bonstetten,2013,3916.0
3,Bonstetten,2014,4105.0
3,Bonstetten,2015,3920.0
3,Bonstetten,2016,2557.0
3,Bonstetten,2017,3283.0
3,Bonstetten,2018,3842.0
3,Bonstetten,2019,4668.0
3,Bonstetten,2020,3862.0
3,Bonstetten,2021,4085.0
3,Bonstetten,2022,5176.0
4,Hausen,2009,10683.0
4,Hausen,2010,10069.0
4,Hausen,2011,8764.0
4,Hausen,2012,9845.0
4,Hausen,2013,10432.0
4,Hausen,2014,9555.0
4,Hausen,2015,8860.0
4,Hausen,2016,9525.0
4,Hausen,2017,9571.0
4,Hausen,2018,9408.0
4,Hausen,2019,10419.0
4,Hausen,2020,10808.0
4,Hausen,2021,11091.0
4,Hausen,2022,12828.0
5,Hedingen,2009,8232.0
5,Hedingen,2010,6854.0
5,Hedingen,2011,6555.0
5,Hedingen,2012,6652.0
5,Hedingen,2013,6292.0
5,Hedingen,2014,4559.0
5,Hedingen,2015,5044.0
5,Hedingen,2016,5742.0
5,Hedingen,2017,6548.0
5,Hedingen,2018,6211.0
5,Hedingen,2019,7557.0
5,Hedingen,2020,9621.0
5,Hedingen,2021,8138.0
5,Hedingen,2022,9038.0
6,Kappel,2009,6636.0
6,Kappel,2010,8006.0
6,Kappel,2011,7982.0
6,Kappel,2012,10216.0
6,Kappel,2013,10049.0
6,Kappel,2014,10199.0
6,Kappel,2015,9862.0
6,Kappel,2016,14081.0
6,Kappel,2017,12652.0
6,Kappel,2018,11996.0
6,Kappel,2019,11608.0
6,Kappel,2020,11730.0
6,Kappel,2021,11191.0
6,Kappel,2022,11845.0
7,Knonau,2009,5850.0
7,Knonau,2010,5911.0
7,Knonau,2011,6367.0
7,Knonau,2012,6223.0
7,Knonau,2013,7449.0
7,Knonau,2014,5570.0
7,Knonau,2015,5707.0
7,Knonau,2016,5197.0
7,Knonau,2017,5021.0
7,Knonau,2018,4633.0
7,Knonau,2019,4175.0
7,Knonau,2020,4178.0
7,Knonau,2021,5955.0
7,Knonau,2022,7695.0
8,Maschwanden,2009,7086.0
8,Maschwanden,2010,5968.0
8,Maschwanden,2011,4541.0
8,Maschwanden,2012,5220.0
8,Maschwanden,2013,6248.0
8,Maschwanden,2014,3816.0
8,Maschwanden,2015,4363.0
8,Maschwanden,2016,4872.0
8,Maschwanden,2017,5874.0
8,Maschwanden,2018,6338.0
8,Maschwanden,2019,7635.0
8,Maschwanden,2020,8347.0
8,Maschwanden,2021,7838.0
8,Maschwanden,2022,5305.0
9,Mettmenstetten,2009,8687.0
9,Mettmenstetten,2010,7844.0
9,Mettmenstetten,2011,7871.0
9,Mettmenstetten,2012,8430.0
9,Mettmenstetten,2013,7979.0
9,Mettmenstetten,2014,7927.0
9,Mettmenstetten,2015,8589.0
9,Mettmenstetten,2016,7293.0
9,Mettmenstetten,2017,8693.0
9,Mettmenstetten,2018,7935.0
9,Mettmenstetten,2019,8446.0
9,Mettmenstetten,2020,7349.0
9,Mettmenstetten,2021,7503.0
9,Mettmenstetten,2022,7332.0
10,Obfelden,2009,5605.0
10,Obfelden,2010,5235.0
10,Obfelden,2011,5403.0
10,Obfelden,2012,5657.0
10,Obfelden,2013,5785.0
10,Obfelden,2014,5939.0
10,Obfelden,2015,6059.0
10,Obfelden,2016,6171.0
10,Obfelden,2017,6777.0
10,Obfelden,2018,5406.0
10,Obfelden,2019,5112.0
10,Obfelden,2020,5613.0
10,Obfelden,2021,6215.0
10,Obfelden,2022,7632.0
11,Ottenbach,2009,6039.0
11,Ottenbach,2010,6849.0
11,Ottenbach,2011,6671.0
11,Ottenbach,2012,6472.0
11,Ottenbach,2013,5549.0
11,Ottenbach,2014,5856.0
11,Ottenbach,2015,5543.0
11,Ottenbach,2016,5072.0
11,Ottenbach,2017,5869.0
11,Ottenbach,2018,6382.0
11,Ottenbach,2019,5607.0
11,Ottenbach,2020,6763.0
11,Ottenbach,2021,7067.0
11,Ottenbach,2022,5685.0
12,Rifferswil,2009,7963.0
12,Rifferswil,2010,7580.0
12,Rifferswil,2011,6666.0
12,Rifferswil,2012,8116.0
12,Rifferswil,2013,7955.0
12,Rifferswil,2014,6437.0
12,Rifferswil,2015,6256.0
12,Rifferswil,2016,8270.0
12,Rifferswil,2017,6741.0
12,Rifferswil,2018,9682.0
12,Rifferswil,2019,10647.0
12,Rifferswil,2020,11707.0
12,Rifferswil,2021,12960.0
12,Rifferswil,2022,13694.0
13,Stallikon,2009,5853.0
13,Stallikon,2010,5570.0
13,Stallikon,2011,4717.0
13,Stallikon,2012,5373.0
13,Stallikon,2013,4332.0
13,Stallikon,2014,4083.0
13,Stallikon,2015,3815.0
13,Stallikon,2016,3444.0
13,Stallikon,2017,4570.0
13,Stallikon,2018,4897.0
13,Stallikon,2019,4133.0
13,Stallikon,2020,5228.0
13,Stallikon,2021,4910.0
13,Stallikon,2022,4374.0
14,Wettswil,2009,7056.0
14,Wettswil,2010,6905.0
14,Wettswil,2011,7431.0
14,Wettswil,2012,9203.0
14,Wettswil,2013,10002.0
14,Wettswil,2014,8484.0
14,Wettswil,2015,8311.0
14,Wettswil,2016,10600.0
14,Wettswil,2017,11398.0
14,Wettswil,2018,11540.0
14,Wettswil,2019,11741.0
14,Wettswil,2020,9901.0
14,Wettswil,2021,9211.0
14,Wettswil,2022,8703.0
22,Benken,2009,10138.0
22,Benken,2010,11216.0
22,Benken,2011,10094.0
22,Benken,2012,10179.0
22,Benken,2013,9977.0
22,Benken,2014,10625.0
22,Benken,2015,8575.0
22,Benken,2016,9818.0
22,Benken,2017,10083.0
22,Benken,2018,10359.0
22,Benken,2019,12678.0
22,Benken,2020,12560.0
22,Benken,2021,11782.0
22,Benken,2022,11699.0
23,Berg,2009,8716.0
23,Berg,2010,7906.0
23,Berg,2011,8567.0
23,Berg,2012,9139.0
23,Berg,2013,8466.0
23,Berg,2014,9939.0
23,Berg,2015,9392.0
23,Berg,2016,13529.0
23,Berg,2017,16804.0
23,Berg,2018,18524.0
23,Berg,2019,14657.0
23,Berg,2020,18995.0
23,Berg,2021,17964.0
23,Berg,2022,19269.0
24,Buch,2009,11270.0
24,Buch,2010,10225.0
24,Buch,2011,11315.0
24,Buch,2012,11260.0
24,Buch,2013,12542.0
24,Buch,2014,12254.0
24,Buch,2015,11142.0
24,Buch,2016,13459.0
24,Buch,2017,12139.0
24,Buch,2018,13851.0
24,Buch,2019,16355.0
24,Buch,2020,15289.0
24,Buch,2021,15248.0
24,Buch,2022,15409.0
25,Dachsen,2009,6248.0
25,Dachsen,2010,6375.0
25,Dachsen,2011,6093.0
25,Dachsen,2012,5726.0
25,Dachsen,2013,5379.0
25,Dachsen,2014,5855.0
25,Dachsen,2015,7310.0
25,Dachsen,2016,6594.0
25,Dachsen,2017,7365.0
25,Dachsen,2018,7736.0
25,Dachsen,2019,8265.0
25,Dachsen,2020,6693.0
25,Dachsen,2021,7075.0
25,Dachsen,2022,7986.0
26,Dorf,2009,6750.0
26,Dorf,2010,6482.0
26,Dorf,2011,5623.0
26,Dorf,2012,6430.0
26,Dorf,2013,8417.0
26,Dorf,2014,5775.0
26,Dorf,2015,5976.0
26,Dorf,2016,6767.0
26,Dorf,2017,6374.0
26,Dorf,2018,5560.0
26,Dorf,2019,7499.0
26,Dorf,2020,7725.0
26,Dorf,2021,8880.0
26,Dorf,2022,10427.0
27,Feuerthalen,2009,5820.0
27,Feuerthalen,2010,5118.0
27,Feuerthalen,2011,4749.0
27,Feuerthalen,2012,6207.0
27,Feuerthalen,2013,7102.0
27,Feuerthalen,2014,6845.0
27,Feuerthalen,2015,4429.0
27,Feuerthalen,2016,3954.0
27,Feuerthalen,2017,4968.0
27,Feuerthalen,2018,4835.0
27,Feuerthalen,2019,4784.0
27,Feuerthalen,2020,4888.0
27,Feuerthalen,2021,4349.0
27,Feuerthalen,2022,4138.0
28,Flaach,2009,10895.0
28,Flaach,2010,9249.0
28,Flaach,2011,6955.0
28,Flaach,2012,7260.0
28,Flaach,2013,7821.0
28,Flaach,2014,7601.0
28,Flaach,2015,5696.0
28,Flaach,2016,7757.0
28,Flaach,2017,8944.0
28,Flaach,2018,8398.0
28,Flaach,2019,12610.0
28,Flaach,2020,12955.0
28,Flaach,2021,12848.0
28,Flaach,2022,13178.0
29,Flurlingen,2009,4403.0
29,Flurlingen,2010,4530.0
29,Flurlingen,2011,5327.0
29,Flurlingen,2012,5374.0
29,Flurlingen,2013,5512.0
29,Flurlingen,2014,4170.0
29,Flurlingen,2015,4769.0
29,Flurlingen,2016,5238.0
29,Flurlingen,2017,5403.0
29,Flurlingen,2018,6159.0
29,Flurlingen,2019,5991.0
29,Flurlingen,2020,7261.0
29,Flurlingen,2021,8032.0
29,Flurlingen,2022,8219.0
31,Henggart,2009,5771.0
31,Henggart,2010,6038.0
31,Henggart,2011,6070.0
31,Henggart,2012,6133.0
31,Henggart,2013,5956.0
31,Henggart,2014,6148.0
31,Henggart,2015,5928.0
31,Henggart,2016,6055.0
31,Henggart,2017,5804.0
31,Henggart,2018,5194.0
31,Henggart,2019,6231.0
31,Henggart,2020,6741.0
31,Henggart,2021,6559.0
31,Henggart,2022,6480.0
33,Kleinandelfingen,2009,7335.0
33,Kleinandelfingen,2010,7371.0
33,Kleinandelfingen,2011,7721.0
33,Kleinandelfingen,2012,7495.0
33,Kleinandelfingen,2013,7343.0
33,Kleinandelfingen,2014,6371.0
33,Kleinandelfingen,2015,6671.0
33,Kleinandelfingen,2016,6878.0
33,Kleinandelfingen,2017,6962.0
33,Kleinandelfingen,2018,7617.0
33,Kleinandelfingen,2019,8912.0
33,Kleinandelfingen,2020,8637.0
33,Kleinandelfingen,2021,9215.0
33,Kleinandelfingen,2022,9306.0
34,Laufen-Uhwiesen,2009,6437.0
34,Laufen-Uhwiesen,2010,7084.0
34,Laufen-Uhwiesen,2011,6650.0
34,Laufen-Uhwiesen,2012,6532.0
34,Laufen-Uhwiesen,2013,6040.0
34,Laufen-Uhwiesen,2014,6469.0
34,Laufen-Uhwiesen,2015,7913.0
34,Laufen-Uhwiesen,2016,11989.0
34,Laufen-Uhwiesen,2017,11996.0
34,Laufen-Uhwiesen,2018,13882.0
34,Laufen-Uhwiesen,2019,14818.0
34,Laufen-Uhwiesen,2020,12951.0
34,Laufen-Uhwiesen,2021,13114.0
34,Laufen-Uhwiesen,2022,12445.0
35,Marthalen,2009,7315.0
35,Marthalen,2010,7495.0
35,Marthalen,2011,6572.0
35,Marthalen,2012,6534.0
35,Marthalen,2013,6835.0
35,Marthalen,2014,5929.0
35,Marthalen,2015,5389.0
35,Marthalen,2016,4723.0
35,Marthalen,2017,5020.0
35,Marthalen,2018,5701.0
35,Marthalen,2019,9370.0
35,Marthalen,2020,9552.0
35,Marthalen,2021,9464.0
35,Marthalen,2022,8080.0
37,Ossingen,2009,7204.0
37,Ossingen,2010,6282.0
37,Ossingen,2011,5004.0
37,Ossingen,2012,4282.0
37,Ossingen,2013,4789.0
37,Ossingen,2014,4733.0
37,Ossingen,2015,4591.0
37,Ossingen,2016,5757.0
37,Ossingen,2017,4255.0
37,Ossingen,2018,5433.0
37,Ossingen,2019,12424.0
37,Ossingen,2020,8003.0
37,Ossingen,2021,10408.0
37,Ossingen,2022,8303.0
38,Rheinau,2009,4558.0
38,Rheinau,2010,5312.0
38,Rheinau,2011,4727.0
38,Rheinau,2012,4638.0
38,Rheinau,2013,8201.0
38,Rheinau,2014,7165.0
38,Rheinau,2015,7504.0
38,Rheinau,2016,6332.0
38,Rheinau,2017,11041.0
38,Rheinau,2018,10239.0
38,Rheinau,2019,9804.0
38,Rheinau,2020,10348.0
38,Rheinau,2021,10476.0
38,Rheinau,2022,9980.0
39,Thalheim,2009,5577.0
39,Thalheim,2010,6425.0
39,Thalheim,2011,6456.0
39,Thalheim,2012,7308.0
39,Thalheim,2013,9085.0
39,Thalheim,2014,9111.0
39,Thalheim,2015,9030.0
39,Thalheim,2016,9541.0
39,Thalheim,2017,10114.0
39,Thalheim,2018,11465.0
39,Thalheim,2019,10099.0
39,Thalheim,2020,9981.0
39,Thalheim,2021,9799.0
39,Thalheim,2022,9798.0
40,Trüllikon,2009,10196.0
40,Trüllikon,2010,9000.0
40,Trüllikon,2011,9030.0
40,Trüllikon,2012,7647.0
40,Trüllikon,2013,8456.0
40,Trüllikon,2014,7831.0
40,Trüllikon,2015,8535.0
40,Trüllikon,2016,8053.0
40,Trüllikon,2017,10171.0
40,Trüllikon,2018,9806.0
40,Trüllikon,2019,9815.0
40,Trüllikon,2020,8352.0
40,Trüllikon,2021,8117.0
40,Trüllikon,2022,7862.0
41,Truttikon,2009,7013.0
41,Truttikon,2010,7746.0
41,Truttikon,2011,8472.0
41,Truttikon,2012,8956.0
41,Truttikon,2013,8432.0
41,Truttikon,2014,8413.0
41,Truttikon,2015,7936.0
41,Truttikon,2016,8986.0
41,Truttikon,2017,8353.0
41,Truttikon,2018,9143.0
41,Truttikon,2019,16985.0
41,Truttikon,2020,16295.0
41,Truttikon,2021,17492.0
41,Truttikon,2022,16442.0
43,Volken,2009,11706.0
43,Volken,2010,13206.0
43,Volken,2011,14110.0
43,Volken,2012,12071.0
43,Volken,2013,13410.0
43,Volken,2014,11628.0
43,Volken,2015,13985.0
43,Volken,2016,13070.0
43,Volken,2017,16626.0
43,Volken,2018,14540.0
43,Volken,2019,16367.0
43,Volken,2020,18256.0
43,Volken,2021,17162.0
43,Volken,2022,18691.0
51,Bachenbülach,2009,8179.0
51,Bachenbülach,2010,7983.0
51,Bachenbülach,2011,7382.0
51,Bachenbülach,2012,7816.0
51,Bachenbülach,2013,7693.0
51,Bachenbülach,2014,8378.0
51,Bachenbülach,2015,10221.0
51,Bachenbülach,2016,11032.0
51,Bachenbülach,2017,10627.0
51,Bachenbülach,2018,10045.0
51,Bachenbülach,2019,10647.0
51,Bachenbülach,2020,8541.0
51,Bachenbülach,2021,9085.0
51,Bachenbülach,2022,8565.0
52,Bassersdorf,2009,6167.0
52,Bassersdorf,2010,5392.0
52,Bassersdorf,2011,5099.0
52,Bassersdorf,2012,5506.0
52,Bassersdorf,2013,5969.0
52,Bassersdorf,2014,4893.0
52,Bassersdorf,2015,3611.0
52,Bassersdorf,2016,4693.0
52,Bassersdorf,2017,4906.0
52,Bassersdorf,2018,4651.0
52,Bassersdorf,2019,4759.0
52,Bassersdorf,2020,5201.0
52,Bassersdorf,2021,5206.0
52,Bassersdorf,2022,5948.0
53,Bülach,2009,5601.0
53,Bülach,2010,5622.0
53,Bülach,2011,5433.0
53,Bülach,2012,5625.0
53,Bülach,2013,4989.0
53,Bülach,2014,4524.0
53,Bülach,2015,4722.0
53,Bülach,2016,4447.0
53,Bülach,2017,5186.0
53,Bülach,2018,5334.0
53,Bülach,2019,7705.0
53,Bülach,2020,7942.0
53,Bülach,2021,7885.0
53,Bülach,2022,8085.0
54,Dietlikon,2009,7749.0
54,Dietlikon,2010,7139.0
54,Dietlikon,2011,6964.0
54,Dietlikon,2012,7858.0
54,Dietlikon,2013,7932.0
54,Dietlikon,2014,6309.0
54,Dietlikon,2015,6327.0
54,Dietlikon,2016,9546.0
54,Dietlikon,2017,7479.0
54,Dietlikon,2018,8568.0
54,Dietlikon,2019,10688.0
54,Dietlikon,2020,8583.0
54,Dietlikon,2021,7788.0
54,Dietlikon,2022,7789.0
55,Eglisau,2009,7285.0
55,Eglisau,2010,7364.0
55,Eglisau,2011,7909.0
55,Eglisau,2012,7146.0
55,Eglisau,2013,5266.0
55,Eglisau,2014,4517.0
55,Eglisau,2015,4964.0
55,Eglisau,2016,4571.0
55,Eglisau,2017,4391.0
55,Eglisau,2018,4532.0
55,Eglisau,2019,8993.0
55,Eglisau,2020,8504.0
55,Eglisau,2021,8548.0
55,Eglisau,2022,8807.0
56,Embrach,2009,3974.0
56,Embrach,2010,7194.0
56,Embrach,2011,5406.0
56,Embrach,2012,4989.0
56,Embrach,2013,4532.0
56,Embrach,2014,4694.0
56,Embrach,2015,5160.0
56,Embrach,2016,4883.0
56,Embrach,2017,5397.0
56,Embrach,2018,4228.0
56,Embrach,2019,5496.0
56,Embrach,2020,6666.0
56,Embrach,2021,6974.0
56,Embrach,2022,7033.0
57,Freienstein-Teufen,2009,6743.0
57,Freienstein-Teufen,2010,6122.0
57,Freienstein-Teufen,2011,5903.0
57,Freienstein-Teufen,2012,5571.0
57,Freienstein-Teufen,2013,5266.0
57,Freienstein-Teufen,2014,4297.0
57,Freienstein-Teufen,2015,4177.0
57,Freienstein-Teufen,2016,4783.0
57,Freienstein-Teufen,2017,4750.0
57,Freienstein-Teufen,2018,4985.0
57,Freienstein-Teufen,2019,9302.0
57,Freienstein-Teufen,2020,8724.0
57,Freienstein-Teufen,2021,8074.0
57,Freienstein-Teufen,2022,7761.0
58,Glattfelden,2009,8570.0
58,Glattfelden,2010,7140.0
58,Glattfelden,2011,6983.0
58,Glattfelden,2012,5924.0
58,Glattfelden,2013,6145.0
58,Glattfelden,2014,5386.0
58,Glattfelden,2015,3626.0
58,Glattfelden,2016,5445.0
58,Glattfelden,2017,5342.0
58,Glattfelden,2018,5618.0
58,Glattfelden,2019,5494.0
58,Glattfelden,2020,5145.0
58,Glattfelden,2021,5401.0
58,Glattfelden,2022,7996.0
59,Hochfelden,2009,9662.0
59,Hochfelden,2010,10305.0
59,Hochfelden,2011,9331.0
59,Hochfelden,2012,9063.0
59,Hochfelden,2013,8599.0
59,Hochfelden,2014,6682.0
59,Hochfelden,2015,8069.0
59,Hochfelden,2016,7970.0
59,Hochfelden,2017,8415.0
59,Hochfelden,2018,8783.0
59,Hochfelden,2019,10895.0
59,Hochfelden,2020,10706.0
59,Hochfelden,2021,9122.0
59,Hochfelden,2022,10972.0
60,Höri,2009,5745.0
60,Höri,2010,6291.0
60,Höri,2011,6884.0
60,Höri,2012,6491.0
60,Höri,2013,6316.0
60,Höri,2014,6124.0
60,Höri,2015,4905.0
60,Höri,2016,5332.0
60,Höri,2017,4962.0
60,Höri,2018,5313.0
60,Höri,2019,12187.0
60,Höri,2020,10879.0
60,Höri,2021,12303.0
60,Höri,2022,11756.0
61,Hüntwangen,2009,14381.0
61,Hüntwangen,2010,18766.0
61,Hüntwangen,2011,16695.0
61,Hüntwangen,2012,15836.0
61,Hüntwangen,2013,15296.0
61,Hüntwangen,2014,14290.0
61,Hüntwangen,2015,14109.0
61,Hüntwangen,2016,12737.0
61,Hüntwangen,2017,13035.0
61,Hüntwangen,2018,12869.0
61,Hüntwangen,2019,12061.0
61,Hüntwangen,2020,13172.0
61,Hüntwangen,2021,10778.0
61,Hüntwangen,2022,10298.0
62,Kloten,2009,6405.0
62,Kloten,2010,8377.0
62,Kloten,2011,8088.0
62,Kloten,2012,7217.0
62,Kloten,2013,6217.0
62,Kloten,2014,7341.0
62,Kloten,2015,9507.0
62,Kloten,2016,8282.0
62,Kloten,2017,10185.0
62,Kloten,2018,11291.0
62,Kloten,2019,10264.0
62,Kloten,2020,7460.0
62,Kloten,2021,8222.0
62,Kloten,2022,11056.0
63,Lufingen,2009,9181.0
63,Lufingen,2010,8523.0
63,Lufingen,2011,8106.0
63,Lufingen,2012,7363.0
63,Lufingen,2013,7564.0
63,Lufingen,2014,7011.0
63,Lufingen,2015,6511.0
63,Lufingen,2016,6608.0
63,Lufingen,2017,6324.0
63,Lufingen,2018,7219.0
63,Lufingen,2019,7910.0
63,Lufingen,2020,6326.0
63,Lufingen,2021,6025.0
63,Lufingen,2022,5812.0
64,Nürensdorf,2009,6520.0
64,Nürensdorf,2010,6591.0
64,Nürensdorf,2011,5964.0
64,Nürensdorf,2012,7278.0
64,Nürensdorf,2013,7599.0
64,Nürensdorf,2014,4973.0
64,Nürensdorf,2015,4493.0
64,Nürensdorf,2016,4773.0
64,Nürensdorf,2017,5000.0
64,Nürensdorf,2018,4995.0
64,Nürensdorf,2019,5534.0
64,Nürensdorf,2020,5803.0
64,Nürensdorf,2021,5137.0
64,Nürensdorf,2022,4910.0
65,Oberembrach,2009,8166.0
65,Oberembrach,2010,8243.0
65,Oberembrach,2011,7832.0
65,Oberembrach,2012,7772.0
65,Oberembrach,2013,7110.0
65,Oberembrach,2014,6117.0
65,Oberembrach,2015,7658.0
65,Oberembrach,2016,7189.0
65,Oberembrach,2017,7802.0
65,Oberembrach,2018,8589.0
65,Oberembrach,2019,7819.0
