web-scraper-order,web-scraper-start-url,NewsTiles,NewsTiles-href,Tile-Title,Tile-Date,Tile-Text
"1715677775-1","https://www.zh.ch/de/news-uebersicht.html?organisation=organisationen%253Akanton-zuerich%252Fsicherheitsdirektion%252Fkantonspolizei&dateFrom=2022-01-01&dateTo=2022-10-31&fullText=Einbruch&page=1&orderBy=relevance","Richterswil: Mutmassliche Einbrecher verhaftet
                                    
                                    
                                    
                                        Medienmitteilung
                                        30.09.2022
                                    
                                    
                                    
                                    
                                    
                                        Anlässlich einer Verkehrskontrolle in Richterswil hat die Kantonspolizei Zürich am Dienstagnachmittag...","https://www.zh.ch/de/news-uebersicht/medienmitteilungen/2022/09/221029x_richterswil_einbrecher_verhaftet.html","Richterswil: Mutmassliche Einbrecher verhaftet","Medienmitteilung
            30.09.2022","Gegen 16.20 Uhr hielten Polizisten einen Personenwagen mit vier Insassen an. Bei der Überprüfung der Personalien stellte sich heraus, dass ein Mitfahrer zur Fahndung ausgeschrieben war. Die zwei Männer sowie zwei Frau wurden daraufhin für weitere Abklärungen in den Polizeiposten Richterswil gebracht."
"1715677777-2","https://www.zh.ch/de/news-uebersicht.html?organisation=organisationen%253Akanton-zuerich%252Fsicherheitsdirektion%252Fkantonspolizei&dateFrom=2022-01-01&dateTo=2022-10-31&fullText=Einbruch&page=1&orderBy=relevance","Thalwil: Zwei falsche Polizisten verhaftet
                                    
                                    
                                    
                                        Medienmitteilung
                                        22.09.2022
                                    
                                    
                                    
                                    
                                    
                                        Die Kantonspolizei Zürich hat am Mittwochnachmittag (21.9.2022) in Thalwil zwei mutmassliche...","https://www.zh.ch/de/news-uebersicht/medienmitteilungen/2022/09/220922m_thalwil_trickbetrueger.html","Thalwil: Zwei falsche Polizisten verhaftet","Medienmitteilung
            22.09.2022","Am frühen Nachmittag meldete sich eine 67-jährige Frau bei der Kantonspolizei Zürich und gab an, dass sie derzeit mit einem Telefonbetrüger in Kontakt stehe. Dieser gebe sich als Polizist aus und verlange mit einer sogenannten Schockmeldung mehrere zehntausend Franken Bargeld. Sie sei angewiesen worden, das Geld an einen Übergabeort in Thalwil zu bringen."
"1715677779-3","https://www.zh.ch/de/news-uebersicht.html?organisation=organisationen%253Akanton-zuerich%252Fsicherheitsdirektion%252Fkantonspolizei&dateFrom=2022-01-01&dateTo=2022-10-31&fullText=Einbruch&page=1&orderBy=relevance","Effretikon: Kantonspolizei verhaftet drei mutmassliche Einbrecher
                                    
                                    
                                    
                                        Medienmitteilung
                                        21.09.2022
                                    
                                    
                                    
                                    
                                    
                                        Die Kantonspolizei Zürich hat in der Nacht auf Mittwoch (21.9.2022) in Effretikon (Gemeinde...","https://www.zh.ch/de/news-uebersicht/medienmitteilungen/2022/09/220921f_effretikon.html","Effretikon: Kantonspolizei verhaftet drei mutmassliche Einbrecher","Medienmitteilung
            21.09.2022","Nachdem bei der Kantonspolizei Zürich kurz vor zwei Uhr die Meldung einging, dass in Effretikon zwei junge Männer um parkierte Autos schleichen würden und versuchten die Fahrzeugtüren zu öffnen, rückten mehrere Patrouillen aus und fahndeten nach den beschriebenen Männer. Nach kurzer Zeit hielten die Einsatzkräfte zwei Männer an, die dem Signalement entsprachen und gerade Anstalten machten, ein gekipptes Fenster zu öffnen und in eine Wohnung einzusteigen. Sie wurden beide verhaftet."
"1715677781-4","https://www.zh.ch/de/news-uebersicht.html?organisation=organisationen%253Akanton-zuerich%252Fsicherheitsdirektion%252Fkantonspolizei&dateFrom=2022-01-01&dateTo=2022-10-31&fullText=Einbruch&page=1&orderBy=relevance","Uster: Fünf mutmassliche Einbrecher verhaftet
                                    
                                    
                                    
                                        Medienmitteilung
                                        25.07.2022
                                    
                                    
                                    
                                    
                                    
                                        Die Kantonspolizei Zürich hat am Dienstag (19.7.2022) in Uster fünf junge Männer verhaftet, die mutmasslich...","https://www.zh.ch/de/news-uebersicht/medienmitteilungen/2022/07/220725k_uster_einbrecher_verhaftet.html","Uster: Fünf mutmassliche Einbrecher verhaftet","Medienmitteilung
            25.07.2022","Polizeiliche Ermittlungen führten zu fünf jungen Männern, die zwischen Februar und Juni 2022 mutmasslich vier Mal in unterschiedlicher Konstellation in dasselbe Verkaufsgeschäft in Uster eingebrochen sind und dabei Deliktsgut im Gesamtwert von über zwanzigtausend Franken entwendet haben. Zwei Mal blieb es beim Versuch in dieselben Räumlichkeiten einzubrechen."
"1715677783-5","https://www.zh.ch/de/news-uebersicht.html?organisation=organisationen%253Akanton-zuerich%252Fsicherheitsdirektion%252Fkantonspolizei&dateFrom=2022-01-01&dateTo=2022-10-31&fullText=Einbruch&page=1&orderBy=relevance","Zürich 10: Drei Männer verhaftet
                                    
                                    
                                    
                                        Medienmitteilung
                                        20.07.2022
                                    
                                    
                                    
                                    
                                    
                                        Die Kantonspolizei Zürich verhaftete am Montag (18.04.2022) in einer Wohnung einen...","https://www.zh.ch/de/news-uebersicht/medienmitteilungen/2022/07/220720_zuerich10_festnahmen.html","Zürich 10: Drei Männer verhaftet","Medienmitteilung
            20.07.2022","Aufgrund von Hinweisen, wonach in einem Wohnquartier im Stadtkreis 10 mit Betäubungsmitteln gehandelt werden soll, überwachten Fahnder das bezeichnete Gebiet. Dabei beobachteten die Polizisten einen Mann beim Verlassen eines Wohnhauses. Die Kontrolle des 50 Jahre alten Libanesen führte eine kleine Menge Kokain zutage. Gestützt auf diese Sicherstellung erwirkten die Kantonspolizisten bei der Staatsanwaltschaft einen Hausdurchsuchungsbefehl für die verdächtige Wohnung. In der Wohnung befanden sich zwei Sudanesen im Alter von 54 und 35 Jahren. Während der Durchsuchung der Räumlichkeiten betrat ein 34-jähriger Ägypter die Wohnung. Dieser führte ein neuwertiges, hochpreisiges E-Bike, ein fremdes Portemonnaie sowie ein Firmenlaptop mit sich. Abklärungen ergaben, dass das E-Bike gleichentags in der Stadt Zürich entwendet worden war. Das Portemonnaie wurde ebenfalls am gleichen Morgen in Zürich aus einem Fahrzeug gestohlen und der Laptop wurde vor einigen Tagen bei einem Einbruchdiebstahl in eine Baustellenbaracke entwendet. Erste Ermittlungen ergaben, dass mutmasslich der jüngere Sudanese zusammen mit dem Ägypter die Vermögensdelikte begangen haben dürfte während der ältere Sudanese aus der Wohnung Kokain verkaufte."
"1715677785-6","https://www.zh.ch/de/news-uebersicht.html?organisation=organisationen%253Akanton-zuerich%252Fsicherheitsdirektion%252Fkantonspolizei&dateFrom=2022-01-01&dateTo=2022-10-31&fullText=Einbruch&page=1&orderBy=relevance","Geroldswil: Einbruch in Fahrradgeschäft
                                    
                                    
                                    
                                        Medienmitteilung
                                        24.08.2022
                                    
                                    
                                    
                                    
                                    
                                        In der Nacht auf Mittwoch (24.08.2022) haben unbekannte Täter einen Einbruchdiebstahl in ein...","https://www.zh.ch/de/news-uebersicht/medienmitteilungen/2022/08/220824x_geroldswil_einbruch.html","Geroldswil: Einbruch in Fahrradgeschäft","Medienmitteilung
            24.08.2022","Kurz vor 3 Uhr ging bei der Kantonspolizei Zürich die Meldung ein, dass soeben in ein Velogeschäft eingebrochen werde. Beim Eintreffen der sofort ausgerückten Einsatzkräfte war der Einbruch bereits erfolgt und die Täter in unbekannte Richtung geflüchtet. Die Täter erbeuteten mehrere Zweiräder im Wert von über vierzigtausend Franken."
"1715677787-7","https://www.zh.ch/de/news-uebersicht.html?organisation=organisationen%253Akanton-zuerich%252Fsicherheitsdirektion%252Fkantonspolizei&dateFrom=2022-01-01&dateTo=2022-10-31&fullText=Einbruch&page=1&orderBy=relevance","Bei Verdacht Telefon 117 - Gemeinsam gegen Einbruch
                                    
                                    
                                    
                                        Medienmitteilung
                                        31.10.2022
                                    
                                    
                                    
                                    
                                    
                                        Einbrüche verhindern - dies ist das Ziel der heute gestarteten Aktion zur Bekämpfung der...","https://www.zh.ch/de/news-uebersicht/medienmitteilungen/2022/10/221031x_verdacht_ruf_an_gemeinsam_gegen_einbruch.html","Bei Verdacht Telefon 117 - Gemeinsam gegen Einbruch","Medienmitteilung
            31.10.2022","Mit Beginn der Winterzeit nimmt die Zahl der Einbrüche tendenziell zu. Einbrecher nutzen sowohl die herbstlichen Tage, als auch die früh einsetzende Dämmerung und dringen spontan in Einfamilienhäuser, Wohnungen oder Kellerräumlichkeiten von Mehrfamilienhäusern sowie in Gewerbeliegenschaften ein."
"1715677790-8","https://www.zh.ch/de/news-uebersicht.html?organisation=organisationen%253Akanton-zuerich%252Fsicherheitsdirektion%252Fkantonspolizei&dateFrom=2022-01-01&dateTo=2022-10-31&fullText=Einbruch&page=1&orderBy=relevance","Elsau: Grosse Beute bei Einbruch
                                    
                                    
                                    
                                        Medienmitteilung
                                        17.08.2022
                                    
                                    
                                    
                                    
                                    
                                        Bei einem Einbruch in eine Gewerbeliegenschaft in der Nacht auf Sonntag (14.8.2022) haben die...","https://www.zh.ch/de/news-uebersicht/medienmitteilungen/2022/08/220817f_ebd_elsau.html","Elsau: Grosse Beute bei Einbruch","Medienmitteilung
            17.08.2022","Um zwei Uhr in der Nacht brachen unbekannte Personen in eine Gewerbeliegenschaft ein, indem sie ein Fenster aufwuchteten. Im Innern öffneten sie einen Tresor und stahlen daraus rund 25'000 Franken und diverse weitere Gegenstände. Anschliessend konnten die Einbrecher das Gebäude unentdeckt verlassen. Durch den Einbruch entstand zudem ein Sachschaden von mehreren tausend Franken."
"1715677792-9","https://www.zh.ch/de/news-uebersicht.html?organisation=organisationen%253Akanton-zuerich%252Fsicherheitsdirektion%252Fkantonspolizei&dateFrom=2022-01-01&dateTo=2022-10-31&fullText=Einbruch&page=1&orderBy=relevance","Abschluss der Aktion zur Bekämpfung der Einbruchskriminalität 2021/2022
                                    
                                    
                                    
                                        Medienmitteilung
                                        28.02.2022
                                    
                                    
                                    
                                    
                                    
                                        Die Kantonspolizei Zürich zieht nach der Aktion zur Bekämpfung der Einbruchskriminalität eine positive...","https://www.zh.ch/de/news-uebersicht/medienmitteilungen/2022/02/220228x_verdacht_117.html","Abschluss der Aktion zur Bekämpfung der Einbruchskriminalität 2021/2022","Medienmitteilung
            28.02.2022","Die Kantonspolizei Zürich zieht nach der Aktion zur Bekämpfung der Einbruchskriminalität eine positive Bilanz. Bei den zahlreichen, gezielten Kontrollen auf dem gesamten Kantonsgebiet - mit Fokus auf Kriminaltouristen - verhafteten die Polizisten und Polizistinnen insgesamt 40 Personen."
"1715677794-10","https://www.zh.ch/de/news-uebersicht.html?organisation=organisationen%253Akanton-zuerich%252Fsicherheitsdirektion%252Fkantonspolizei&dateFrom=2022-01-01&dateTo=2022-10-31&fullText=Einbruch&page=1&orderBy=relevance","Winterthur: Geldautomat gesprengt
                                    
                                    
                                    
                                        Zeugenaufruf
                                        10.10.2022
                                    
                                    
                                    
                                    
                                    
                                        Am frühen Montagmorgen (10.10.2022) ist in Winterthur durch Unbekannte ein Geldautomat gesprengt...","https://www.zh.ch/de/news-uebersicht/medienmitteilungen/2022/10/221010r_winterthur_geldautomat.html","Winterthur: Geldautomat gesprengt","Zeugenaufruf
            10.10.2022","Kurz nach zwei Uhr ging die Meldung ein, dass Rauch aus einem Einkaufszentrum in Winterthur-Töss dringe. Die ausgerückten Einsatzkräfte von Polizei und Feuerwehr stellten einen Einbruch fest. Bei der Durchsuchung des Gebäudes wurde klar, dass ein inwendig installierter Geldautomat durch Unbekannte gesprengt worden war."
"1715677796-11","https://www.zh.ch/de/news-uebersicht.html?organisation=organisationen%253Akanton-zuerich%252Fsicherheitsdirektion%252Fkantonspolizei&dateFrom=2022-01-01&dateTo=2022-10-31&fullText=Einbruch&page=1&orderBy=relevance","Dietlikon: Mutmassliche Einbrecher verhaftet
                                    
                                    
                                    
                                        Medienmitteilung
                                        11.05.2022
                                    
                                    
                                    
                                    
                                    
                                        Die Kantonspolizei Zürich hat am frühen Montagmorgen (9.5.2022) nach einem Einschleichediebstahl in...","https://www.zh.ch/de/news-uebersicht/medienmitteilungen/2022/05/220511f_ebd_dietlikon.html","Dietlikon: Mutmassliche Einbrecher verhaftet","Medienmitteilung
            11.05.2022","Bei einem Einschleichediebstahl gegen drei Uhr überraschte die in der Wohnung anwesende Bewohnerin die Täterschaft, die umgehend flüchtete. Die alarmierten Kantonspolizisten ermittelten in der Folge einen 20-jährigen Libyer und einen 21-jährigen Marokkaner, die aufgrund bestehender Hinweise unter Verdacht stehen, für den Einbruch verantwortlich zu sein."
