web-scraper-order,web-scraper-start-url,NewsTiles,NewsTiles-href,Tile-Title,Tile-Date,Tile-Text
1715677226-1,https://www.zh.ch/de/news-uebersicht.html?organisation=organisationen%253Akanton-zuerich%252Fsicherheitsdirektion%252Fkantonspolizei&dateFrom=2024-01-01&dateTo=2024-05-14&fullText=Einbruch&page=1&orderBy=relevance,"Wallisellen: Diensthund stellt Einbrecher
                                    
                                    
                                    
                                        Medienmitteilung
                                        05.05.2024
                                    
                                    
                                    
                                    
                                    
                                        Die Kantonspolizei Zürich hat in Zusammenarbeit mit mehreren Kommunalpolizeien am späten...",https://www.zh.ch/de/news-uebersicht/medienmitteilungen/2024/05/20240505b_wallisellen_ebd.html,Wallisellen: Diensthund stellt Einbrecher,"Medienmitteilung
            05.05.2024","Kurz vor 22.30 Uhr meldete die Protectas der Einsatzzentrale der Kantonspolizei Zürich, dass ihre Mitarbeitenden an einem Möbelhaus Einbruchsspuren festgestellt und eine Person im Gebäude bemerkt hätten. Die sofort alarmierte Polizei umstellte das Gebäude. Der Einbrecher war durch einen Lüftungsschacht ins Gebäude gelangt. Er versuchte an mehreren Stellen aus dem Gebäude zu flüchten, was ihm jedoch nicht gelang. Da er das Objekt nicht freiwillig verlassen wollte, wurde der Diensthund «Lee vom blauen Mistral» eingesetzt. Dieser stellte den Einbrecher noch im Gebäude."
1715677228-2,https://www.zh.ch/de/news-uebersicht.html?organisation=organisationen%253Akanton-zuerich%252Fsicherheitsdirektion%252Fkantonspolizei&dateFrom=2024-01-01&dateTo=2024-05-14&fullText=Einbruch&page=1&orderBy=relevance,"Wie vielfältig ist die Kantonspolizei?
                                    
                                    
                                    
                                        Fachfrage
                                        03.05.2024",https://www.zh.ch/de/news-uebersicht/mitteilungen/2024/sicherheit-justiz/kantonspolizei/240502_vielfaeltige_polizeiarbeit.html,Kantonspolizei Zürich – Vielfältige Polizeiarbeit,"Fachfrage
            03.05.2024","Mit einem neuen Kurzfilm zeigt die Kantonspolizei, dass die Polizeiarbeit keine Arbeit wie jede andere ist und die Kantonspolizei keine Polizei wie jede andere. Das Einsatzgebiet der Kantonspolizei Zürich bietet ein vielfältiges Spektrum an polizeilichen Tätigkeitsfeldern. Angefangen bei der Verkehrsprävention im Kindergarten, der Aufklärung von Raserdelikten, über die Sicherheits- und Grenzkontrolle am Flughafen, die Unterstützung der Betroffenen nach einem Einbruchdelikt bis hin zur Ermittlung von pädokriminellen Straftätern im Internet oder zur Auswertung von komplexen digitalen Spuren eines Onlineanlagebetrugs."
1715677230-3,https://www.zh.ch/de/news-uebersicht.html?organisation=organisationen%253Akanton-zuerich%252Fsicherheitsdirektion%252Fkantonspolizei&dateFrom=2024-01-01&dateTo=2024-05-14&fullText=Einbruch&page=1&orderBy=relevance,"Die polizeilich registrierte Kriminalität hat um 8,7% zugenommen.
                                    
                                    
                                    
                                        Medienmitteilung
                                        25.03.2024",https://www.zh.ch/de/news-uebersicht/medienmitteilungen/2024/03/240325r_pks2023.html,Kriminalstatistik 2023: Wachsende Kriminalität im Kanton konsequent bekämpfen,"Medienmitteilung
            25.03.2024",Die demografische Entwicklung und verschiedene gesellschaftliche Phänomene machen sich in der Polizeilichen Kriminalstatistik 2023 deutlich bemerkbar. Der Migrationsdruck mit seinen Auswirkungen im Asylbereich und die 24-Stunden-Gesellschaft stellen die Polizei ebenso vor Herausforderungen wie der zunehmende Kriminaltourismus.
1715677232-4,https://www.zh.ch/de/news-uebersicht.html?organisation=organisationen%253Akanton-zuerich%252Fsicherheitsdirektion%252Fkantonspolizei&dateFrom=2024-01-01&dateTo=2024-05-14&fullText=Einbruch&page=1&orderBy=relevance,"Effretikon / Tagelswangen: Mann nach Einbruchdiebstahl verhaftet
                                    
                                    
                                    
                                        Medienmitteilung
                                        31.01.2024
                                    
                                    
                                    
                                    
                                    
                                        Nach einem Einbruchdiebstahl in Effretikon ist der Täter am späten Dienstagabend (30.1.2024) durch...",https://www.zh.ch/de/news-uebersicht/medienmitteilungen/2024/01/240131k_effretikon_tagelswangen_ebd.html,Effretikon / Tagelswangen: Mann nach Einbruchdiebstahl verhaftet,"Medienmitteilung
            31.01.2024","Kurz nach 22.15 Uhr ging bei der Einsatzzentrale der Kantonspolizei Zürich die Meldung ein, dass ein Bürger beobachtet habe, wie ein Mann in Effretikon Pneus aus einem Pneuhaus trug. Als der Einbrecher den Melder erblickte, ergriff er mit einem weissen Auto die Flucht. Das erwähnte Fahrzeug konnte kurze Zeit später durch eine Gemeinschaftspatrouille der Kommunalpolizeien gesichtet werden. Diese nahm sofort die Nachfahrt auf. Bei der Anhaltung in Tagelswangen kam es zur Schussabgabe durch die Polizei. Der Mann, ein 29-jähriger Schweizer, konnte festgenommen werden. Verletzt wurde niemand."
1715677234-5,https://www.zh.ch/de/news-uebersicht.html?organisation=organisationen%253Akanton-zuerich%252Fsicherheitsdirektion%252Fkantonspolizei&dateFrom=2024-01-01&dateTo=2024-05-14&fullText=Einbruch&page=1&orderBy=relevance,"Kloten: Gesuchter Einbrecher verhaftet
                                    
                                    
                                    
                                        Medienmitteilung
                                        19.01.2024
                                    
                                    
                                    
                                    
                                    
                                        Die Kantonspolizei Zürich hat am Donnerstagvormittag (18.01.2024) in Kloten einen Mann verhaftet, der wegen...",https://www.zh.ch/de/news-uebersicht/medienmitteilungen/2024/01/240119x_kloten_verhaftung_einbrecher.html,Kloten: Gesuchter Einbrecher verhaftet,"Medienmitteilung
            19.01.2024","Kurz vor 10 Uhr erkannten Fahnder in einem Quartier in Kloten einen zur Verhaftung ausgeschriebenen Mann, welcher sich zu Fuss zu einem Personenwagen begab. Er wurde angehalten und einer Kontrolle unterzogen. Bei der anschliessenden Durchsuchung seiner Wohnung konnten Uhren, Schmuck und elektronische Geräte im Wert von mehreren zehntausend Franken sowie Einbruchswerkzeug sichergestellt werden."
1715677236-6,https://www.zh.ch/de/news-uebersicht.html?organisation=organisationen%253Akanton-zuerich%252Fsicherheitsdirektion%252Fkantonspolizei&dateFrom=2024-01-01&dateTo=2024-05-14&fullText=Einbruch&page=1&orderBy=relevance,"Herrliberg: Unbekannte verüben Einbruch und erbeuten Wertsachen
                                    
                                    
                                    
                                        Medienmitteilung
                                        05.02.2024
                                    
                                    
                                    
                                    
                                    
                                        Bei einem Einbruch in ein Einfamilienhaus (03./04.02.2024) haben Unbekannte in Herrliberg...",https://www.zh.ch/de/news-uebersicht/medienmitteilungen/2021/02/240205x_herrliberg_einbruch.html,Herrliberg: Unbekannte verüben Einbruch und erbeuten Wertsachen,"Medienmitteilung
            05.02.2024","Am Sonntagabend meldete sich der Besitzer eines Einfamilienhauses, dass er soeben festgestellt habe, dass während seiner Abwesenheit jemand in die Liegenschaft eingebrochen sei. Die unbekannten Täter verschafften sich offenbar über das Wochenende via Balkon Zugang in den Wohnbereich der Liegenschaft. Beim Durchsuchen des Objekts erbeuteten sie Bargeld, Schmuck und Uhren im Wert von mehreren zehntausend Franken."
1715677238-7,https://www.zh.ch/de/news-uebersicht.html?organisation=organisationen%253Akanton-zuerich%252Fsicherheitsdirektion%252Fkantonspolizei&dateFrom=2024-01-01&dateTo=2024-05-14&fullText=Einbruch&page=1&orderBy=relevance,"Winterthur: Grosser Sachschaden bei Einbruch in ein Schmuckgeschäft
                                    
                                    
                                    
                                        Medienmitteilung
                                        25.01.2024
                                    
                                    
                                    
                                    
                                    
                                        Bei einem Einbruch in ein Schmuckgeschäft haben unbekannte Täter am frühen Donnerstagmorgen...",https://www.zh.ch/de/news-uebersicht/medienmitteilungen/2024/01/240125b_ebd_winterthur.html,Winterthur: Grosser Sachschaden bei Einbruch in ein Schmuckgeschäft,"Medienmitteilung
            25.01.2024",Die unbekannte Täterschaft rammte kurz vor 05.00 Uhr mit einem gestohlenen Personenwagen rückwärts die Eingangstüre des Schmuckgeschäftes. So verschaffte sie sich Zutritt zum Laden an der Obergasse. Die Einbrecher entwendeten Uhren und Schmuck von derzeit unbestimmtem Wert. Anschliessend flüchtete sie mit dem für den Einbruch verwendeten Personenwagen. Am Gebäude und Inventar entstand ein Schaden von mehreren tausend Franken.
1715677241-8,https://www.zh.ch/de/news-uebersicht.html?organisation=organisationen%253Akanton-zuerich%252Fsicherheitsdirektion%252Fkantonspolizei&dateFrom=2024-01-01&dateTo=2024-05-14&fullText=Einbruch&page=1&orderBy=relevance,"Bilanz zur Aktion bei Verdacht Tel. 117 - Gemeinsam gegen Einbruch
                                    
                                    
                                    
                                        Medienmitteilung
                                        04.03.2024
                                    
                                    
                                    
                                    
                                    
                                        Die Kantonspolizei Zürich zieht nach der Aktion zur Bekämpfung der Einbruchskriminalität 2023/2024...",https://www.zh.ch/de/news-uebersicht/medienmitteilungen/2024/03/240304x_bilanz_gemeinsam_gegen_einbruch.html,Bilanz zur Aktion bei Verdacht Tel. 117 - Gemeinsam gegen Einbruch,"Medienmitteilung
            04.03.2024","Die Kantonspolizei Zürich überprüfte mit Unterstützung diverser Kommunalpolizeien sowie der SBB Transportpolizei in der Zeit zwischen anfangs November 2023 und Ende Februar 2024 während der erhöhten Patrouillen- und Kontrolltätigkeit mehrere tausend Fahrzeuge und deren Insassen. Bei den Kontrollen wurden Identitäten, Fahrzeuge, Ausweise sowie mitgeführte Gegenstände überprüft. Neben den gezielten Aktionstagen fand im genannten Zeitraum auch eine Vielzahl von Kontrollen im Rahmen der ordentlichen Patrouillentätigkeit statt."
1715677243-9,https://www.zh.ch/de/news-uebersicht.html?organisation=organisationen%253Akanton-zuerich%252Fsicherheitsdirektion%252Fkantonspolizei&dateFrom=2024-01-01&dateTo=2024-05-14&fullText=Einbruch&page=1&orderBy=relevance,"Zollikon: Grosse Beute bei Einbruchdiebstahl
                                    
                                    
                                    
                                        Medienmitteilung
                                        01.03.2024
                                    
                                    
                                    
                                    
                                    
                                        Bei einem Einbruch in eine Wohnung (29.02.2024) in Zollikon erbeutete eine unbekannte Täterschaft...",https://www.zh.ch/de/news-uebersicht/medienmitteilungen/2024/03/240301m_zollikon_einbruch.html,Zollikon: Grosse Beute bei Einbruchdiebstahl,"Medienmitteilung
            01.03.2024","Am Donnerstagabend meldete ein Ehepaar aus Zollikon, dass während ihrer Abwesenheit bei ihnen eingebrochen worden sei. Die unbekannte Täterschaft brach die Balkontüre auf und verschaffte sich so Zugang zu der Wohnung im 4. OG. Beim Durchsuchen der ganzen Wohnung wuchteten die Täter einen Safe aus der Verankerung und verliessen mit diesem den Tatort. Darin befanden sich Uhren im Wert von mehreren hunderttausend Franken."
1715677245-10,https://www.zh.ch/de/news-uebersicht.html?organisation=organisationen%253Akanton-zuerich%252Fsicherheitsdirektion%252Fkantonspolizei&dateFrom=2024-01-01&dateTo=2024-05-14&fullText=Einbruch&page=1&orderBy=relevance,"Pfäffikon: Junger Einbrecher mit Diebesgut verhaftet
                                    
                                    
                                    
                                        Medienmitteilung
                                        03.03.2024
                                    
                                    
                                    
                                    
                                    
                                        Die Kantonspolizei Zürich hat am frühen Sonntagmorgen (03.03.2024) in Pfäffikon einen Mann verhaftet...",https://www.zh.ch/de/news-uebersicht/medienmitteilungen/2024/03/240303x_pfaeffikon_einbrecher_verhaftet.html,Pfäffikon: Junger Einbrecher mit Diebesgut verhaftet,"Medienmitteilung
            03.03.2024","Gegen 5.30 Uhr ging bei der Einsatzzentrale der Kantonspolizei Zürich die Meldung ein, dass ein Mann nach einem Einbruch in ein Einfamilienhaus geflüchtet sei. Die sofort ausgerückten Polizisten trafen kurz danach in einem anderen Quartier auf einen jungen Fussgänger, welcher auf das vorhandene Signalement passte. Bei der Kontrolle des jungen Mannes kamen diverse Wertsachen zum Vorschein welche ihm abgenommen wurden."
1715677247-11,https://www.zh.ch/de/news-uebersicht.html?organisation=organisationen%253Akanton-zuerich%252Fsicherheitsdirektion%252Fkantonspolizei&dateFrom=2024-01-01&dateTo=2024-05-14&fullText=Einbruch&page=1&orderBy=relevance,"Oberembrach & Horgen: Vier Einbrecher verhaftet
                                    
                                    
                                    
                                        Medienmitteilung
                                        09.01.2024
                                    
                                    
                                    
                                    
                                    
                                        Die Kantonspolizei Zürich hat in der Nacht auf Montag (08.01.2024) in Oberembrach und Horgen...",https://www.zh.ch/de/news-uebersicht/medienmitteilungen/2024/01/240109_verhaftung_einbrecher_oberembrach_horgen.html,Oberembrach & Horgen: Vier Einbrecher verhaftet,"Medienmitteilung
            09.01.2024","Kurz vor Mitternacht ging bei der Einsatzzentrale der Kantonspolizei Zürich die Meldung über einen geflüchteten Einbrecher in Oberembrach ein. Dieser konnte trotz einer sofort eingeleiteten Fahndung nicht gefasst werden. 
 Kurz nach 1 Uhr meldete sich ein Bewohner einer weiteren Liegenschaft bei der Kantonspolizei Zürich und teilte mit, dass er einen Einbrecher überrascht habe und dieser geflüchtet sei. Der Flüchtige konnte durch die sofort ausgerückten Polizisten kurz darauf in einem Gebüsch gestellt und verhaftet werden. Er führte mutmasslich entwendete Armbanduhren und Kleidungsstücke mit sich."
1715677249-12,https://www.zh.ch/de/news-uebersicht.html?organisation=organisationen%253Akanton-zuerich%252Fsicherheitsdirektion%252Fkantonspolizei&dateFrom=2024-01-01&dateTo=2024-05-14&fullText=Einbruch&page=1&orderBy=relevance,"Uster: Ladendiebe verhaftet und Deliktsgut sichergestellt
                                    
                                    
                                    
                                        Medienmitteilung
                                        27.01.2024
                                    
                                    
                                    
                                    
                                    
                                        Die Kantonspolizei Zürich hat am Freitagabend (26.01.2024) bei einer Verkehrskontrolle in Uster...",https://www.zh.ch/de/news-uebersicht/medienmitteilungen/2024/01/240127x_uster_ladendiebe_verhaftung.html,Uster: Ladendiebe verhaftet und Deliktsgut sichergestellt,"Medienmitteilung
            27.01.2024","Am Freitagabend führten Polizistinnen und Polizisten im Rahmen der Aktion «Bei Verdacht Telefon 117 - gemeinsam gegen Einbruch» eine verkehrs- und kriminalpolizeiliche Kontrolle an der Pfäffikerstrasse in Uster durch. Gegen 18.30 Uhr hielten sie ein mit vier Personen besetztes Auto an. Da sich drei Personen nicht ausweisen konnten und sie diverse Waren mitführten, für welche sie keine Kaufbelege vorweisen konnten, wurden die vier Insassen festgenommen und auf einen Polizeiposten gebracht."
1715677550-1,https://www.zh.ch/de/news-uebersicht.html?organisation=organisationen%253Akanton-zuerich%252Fsicherheitsdirektion%252Fkantonspolizei&dateFrom=2023-01-01&dateTo=2023-09-30&fullText=Einbruch&page=1&orderBy=relevance,"Hauptbahnhof Zürich: Zwei mutmassliche Diebe verhaftet
                                    
                                    
                                    
                                        Medienmitteilung
                                        10.08.2023
                                    
                                    
                                    
                                    
                                    
                                        Die Kantonspolizei Zürich hat am Mittwochmorgen (9.8.2023) im Hauptbahnhof Zürich zwei Männer...",https://www.zh.ch/de/news-uebersicht/medienmitteilungen/2023/08/230810_hbf_erh.html,Hauptbahnhof Zürich: Zwei mutmassliche Diebe verhaftet,"Medienmitteilung
            10.08.2023","Kurz vor 6.30 Uhr fielen Kantonspolizisten im Hauptbahnhof zwei Männer auf, die scheinbar ziellos umherliefen. Da sich beide anlässlich der Kontrolle nicht ordnungsgemäss ausweisen konnten, wurden sie auf einen Polizeiposten gebracht. Eine genauere Überprüfung ergab, dass die beiden Männer aus Algerien und Libyen rechtskräftig aus der Schweiz weggewiesen worden waren.
 In ihren Schuhen führten beide über 1'000 Franken in Noten mit sich. Zudem wurde in ihren Effekten umfangreiches Einbruchswerkzeug sichergestellt."
