Ausgangsjahr,Gemeinde_BFS_Nr,Gemeindename,Stadtkreis_BFS_Nr,Stadtkreis_Name,Gesetz_Nummer,Gesetz_Abk,Tatbestand,Straftaten_total,Straftaten_vollendet,Straftaten_versucht,Einwohner,Häufigkeitszahl
2009,131,Adliswil,,,311.0,StGB,Einbruchdiebstahl,159,114,45,16052.0,9.9
2009,131,Adliswil,,,311.0,StGB,Einschleichdiebstahl,33,32,1,16052.0,2.1
2009,131,Adliswil,,,311.0,StGB,Einbrüche insgesamt,192,146,46,16052.0,12.0
2009,241,Aesch,,,311.0,StGB,Einbruchdiebstahl,10,7,3,987.0,10.1
2009,241,Aesch,,,311.0,StGB,Einschleichdiebstahl,2,2,0,987.0,2.0
2009,241,Aesch,,,311.0,StGB,Einbrüche insgesamt,12,9,3,987.0,12.2
2009,1,Aeugst,,,311.0,StGB,Einbruchdiebstahl,3,3,0,1700.0,1.8
2009,1,Aeugst,,,311.0,StGB,Einschleichdiebstahl,5,5,0,1700.0,2.9
2009,1,Aeugst,,,311.0,StGB,Einbrüche insgesamt,8,8,0,1700.0,4.7
2009,2,Affoltern,,,311.0,StGB,Einbruchdiebstahl,101,67,34,10630.0,9.5
2009,2,Affoltern,,,311.0,StGB,Einschleichdiebstahl,20,18,2,10630.0,1.9
2009,2,Affoltern,,,311.0,StGB,Einbrüche insgesamt,121,85,36,10630.0,11.4
2009,211,Altikon,,,311.0,StGB,Einbruchdiebstahl,0,0,0,615.0,0.0
2009,211,Altikon,,,311.0,StGB,Einschleichdiebstahl,1,1,0,615.0,1.6
2009,211,Altikon,,,311.0,StGB,Einbrüche insgesamt,1,1,0,615.0,1.6
2009,291,Andelfingen,,,311.0,StGB,Einbruchdiebstahl,12,10,2,2775.0,4.3
2009,291,Andelfingen,,,311.0,StGB,Einschleichdiebstahl,1,1,0,2775.0,0.4
2009,291,Andelfingen,,,311.0,StGB,Einbrüche insgesamt,13,11,2,2775.0,4.7
2009,51,Bachenbülach,,,311.0,StGB,Einbruchdiebstahl,27,19,8,3796.0,7.1
2009,51,Bachenbülach,,,311.0,StGB,Einschleichdiebstahl,10,9,1,3796.0,2.6
2009,51,Bachenbülach,,,311.0,StGB,Einbrüche insgesamt,37,28,9,3796.0,9.7
2009,81,Bachs,,,311.0,StGB,Einbruchdiebstahl,1,0,1,566.0,1.8
2009,81,Bachs,,,311.0,StGB,Einschleichdiebstahl,0,0,0,566.0,0.0
2009,81,Bachs,,,311.0,StGB,Einbrüche insgesamt,1,0,1,566.0,1.8
2009,52,Bassersdorf,,,311.0,StGB,Einbruchdiebstahl,60,43,17,10755.0,5.6
2009,52,Bassersdorf,,,311.0,StGB,Einschleichdiebstahl,30,30,0,10755.0,2.8
2009,52,Bassersdorf,,,311.0,StGB,Einbrüche insgesamt,90,73,17,10755.0,8.4
2009,297,Bauma,,,311.0,StGB,Einbruchdiebstahl,22,16,6,4517.0,4.9
2009,297,Bauma,,,311.0,StGB,Einschleichdiebstahl,7,7,0,4517.0,1.5
2009,297,Bauma,,,311.0,StGB,Einbrüche insgesamt,29,23,6,4517.0,6.4
2009,22,Benken,,,311.0,StGB,Einbruchdiebstahl,4,4,0,752.0,5.3
2009,22,Benken,,,311.0,StGB,Einschleichdiebstahl,0,0,0,752.0,0.0
2009,22,Benken,,,311.0,StGB,Einbrüche insgesamt,4,4,0,752.0,5.3
2009,23,Berg,,,311.0,StGB,Einbruchdiebstahl,0,0,0,582.0,0.0
2009,23,Berg,,,311.0,StGB,Einschleichdiebstahl,2,2,0,582.0,3.4
2009,23,Berg,,,311.0,StGB,Einbrüche insgesamt,2,2,0,582.0,3.4
2009,242,Birmensdorf,,,311.0,StGB,Einbruchdiebstahl,65,49,16,5810.0,11.2
2009,242,Birmensdorf,,,311.0,StGB,Einschleichdiebstahl,6,6,0,5810.0,1.0
2009,242,Birmensdorf,,,311.0,StGB,Einbrüche insgesamt,71,55,16,5810.0,12.2
2009,3,Bonstetten,,,311.0,StGB,Einbruchdiebstahl,20,10,10,4990.0,4.0
2009,3,Bonstetten,,,311.0,StGB,Einschleichdiebstahl,3,3,0,4990.0,0.6
2009,3,Bonstetten,,,311.0,StGB,Einbrüche insgesamt,23,13,10,4990.0,4.6
2009,82,Boppelsen,,,311.0,StGB,Einbruchdiebstahl,5,5,0,1282.0,3.9
2009,82,Boppelsen,,,311.0,StGB,Einschleichdiebstahl,0,0,0,1282.0,0.0
2009,82,Boppelsen,,,311.0,StGB,Einbrüche insgesamt,5,5,0,1282.0,3.9
2009,213,Brütten,,,311.0,StGB,Einbruchdiebstahl,5,3,2,1893.0,2.6
2009,213,Brütten,,,311.0,StGB,Einschleichdiebstahl,2,2,0,1893.0,1.1
2009,213,Brütten,,,311.0,StGB,Einbrüche insgesamt,7,5,2,1893.0,3.7
2009,112,Bubikon,,,311.0,StGB,Einbruchdiebstahl,24,18,6,6299.0,3.8
2009,112,Bubikon,,,311.0,StGB,Einschleichdiebstahl,7,7,0,6299.0,1.1
2009,112,Bubikon,,,311.0,StGB,Einbrüche insgesamt,31,25,6,6299.0,4.9
2009,24,Buch,,,311.0,StGB,Einbruchdiebstahl,2,2,0,843.0,2.4
2009,24,Buch,,,311.0,StGB,Einschleichdiebstahl,0,0,0,843.0,0.0
2009,24,Buch,,,311.0,StGB,Einbrüche insgesamt,2,2,0,843.0,2.4
2009,83,Buchs,,,311.0,StGB,Einbruchdiebstahl,24,16,8,5243.0,4.6
2009,83,Buchs,,,311.0,StGB,Einschleichdiebstahl,7,7,0,5243.0,1.3
2009,83,Buchs,,,311.0,StGB,Einbrüche insgesamt,31,23,8,5243.0,5.9
2009,111,Bäretswil,,,311.0,StGB,Einbruchdiebstahl,22,11,11,4471.0,4.9
2009,111,Bäretswil,,,311.0,StGB,Einschleichdiebstahl,9,9,0,4471.0,2.0
2009,111,Bäretswil,,,311.0,StGB,Einbrüche insgesamt,31,20,11,4471.0,6.9
2009,53,Bülach,,,311.0,StGB,Einbruchdiebstahl,145,100,45,16774.0,8.6
